Provider Number,City,State,ZIP Code,County Name,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
110132,Bainbridge,GA,39819,DECATUR,4 out of 10,3 out of 9,4 out of 10,4 out of 10,1 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,4 out of 10,4 out of 9,4 out of 10,3 out of 10,6 out of 9,6 out of 10,0 out of 10,2 out of 9,2 out of 10,25,17
110135,Hawkinsville,GA,31036,PULASKI,5 out of 10,2 out of 9,5 out of 10,7 out of 10,5 out of 9,7 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,5 out of 9,5 out of 10,4 out of 10,2 out of 9,4 out of 10,34,20
110142,Claxton,GA,30417,EVANS,4 out of 10,0 out of 9,4 out of 10,10 out of 10,9 out of 9,10 out of 10,7 out of 10,0 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,6 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,5 out of 10,8 out of 9,8 out of 10,2 out of 10,2 out of 9,2 out of 10,42,18
110143,Austell,GA,30106,COBB,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0,15
110146,Saint Marys,GA,31558,CAMDEN,6 out of 10,6 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,1 out of 9,1 out of 10,5 out of 10,1 out of 9,5 out of 10,5 out of 10,3 out of 9,5 out of 10,3 out of 10,4 out of 9,4 out of 10,1 out of 10,1 out of 9,1 out of 10,26,20
110150,Milledgeville,GA,31061,BALDWIN,3 out of 10,4 out of 9,4 out of 10,6 out of 10,5 out of 9,6 out of 10,1 out of 10,2 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,2 out of 10,3 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,4 out of 10,5 out of 9,5 out of 10,0 out of 10,3 out of 9,3 out of 10,27,19
110153,Perry,GA,31069,HOUSTON,6 out of 10,5 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,2 out of 9,3 out of 10,6 out of 10,4 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,3 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,6 out of 10,4 out of 9,6 out of 10,57,20
110161,Atlanta,GA,30342,FULTON,4 out of 10,2 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,4 out of 10,1 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,7 out of 10,3 out of 9,7 out of 10,28,20
110164,Macon,GA,31217,BIBB,0 out of 10,2 out of 9,2 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,3 out of 10,2 out of 9,3 out of 10,3 out of 10,2 out of 9,3 out of 10,2 out of 10,1 out of 9,2 out of 10,19,18
110165,Riverdale,GA,30274,CLAYTON,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2,11
110168,Rome,GA,30165,FLOYD,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,2 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,30,20
110177,Augusta,GA,30909,RICHMOND,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,8,18
110183,Smyrna,GA,30080,COBB,0 out of 10,2 out of 9,2 out of 10,1 out of 10,4 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,4 out of 9,4 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,12,13
110184,Douglasville,GA,30134,DOUGLAS,5 out of 10,0 out of 9,5 out of 10,3 out of 10,3 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,0 out of 9,7 out of 10,5 out of 10,0 out of 9,5 out of 10,4 out of 10,1 out of 9,4 out of 10,3 out of 10,6 out of 9,6 out of 10,3 out of 10,1 out of 9,3 out of 10,35,20
110187,Dahlonega,GA,30533,LUMPKIN,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,1 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,9,14
110189,Blue Ridge,GA,30513,FANNIN,2 out of 10,0 out of 9,2 out of 10,5 out of 10,0 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,5 out of 10,2 out of 9,5 out of 10,2 out of 10,0 out of 9,2 out of 10,22,20
110191,Stockbridge,GA,30281,HENRY,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1,13
110192,Snellville,GA,30078,GWINNETT,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2,11
110194,Donalsonville,GA,39845,SEMINOLE,5 out of 10,0 out of 9,5 out of 10,10 out of 10,0 out of 9,10 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,6 out of 10,2 out of 9,6 out of 10,6 out of 10,2 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,2 out of 9,4 out of 10,33,13
110198,Roswell,GA,30076,FULTON,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,6,14
110200,Columbus,GA,31909,MUSCOGEE,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,80,20
110201,Macon,GA,31210,BIBB,1 out of 10,3 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,2 out of 10,4 out of 9,4 out of 10,6 out of 10,4 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,1 out of 9,3 out of 10,22,19
110205,Ellijay,GA,30540,GILMER,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,7 out of 10,3 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,14,10
110215,Fayetteville,GA,30214,FAYETTE,1 out of 10,2 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,8,18
110225,Jasper,GA,30143,PICKENS,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,18,18
110226,Lithonia,GA,30058,DE KALB,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,0 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,9,16
110229,Newnan,GA,30263,COWETA,2 out of 10,0 out of 9,2 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,1 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,7 out of 10,7 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,3 out of 9,3 out of 10,22,18
110230,Johns Creek,GA,30097,CHATTOOGA,2 out of 10,4 out of 9,4 out of 10,5 out of 10,4 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,3 out of 10,5 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,6 out of 10,3 out of 9,6 out of 10,27,18
110233,Newnan,GA,30265,COWETA,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,10 out of 10,Not Available,10 out of 10,9 out of 10,Not Available,9 out of 10,8 out of 10,Not Available,8 out of 10,10 out of 10,Not Available,10 out of 10,2 out of 10,Not Available,2 out of 10,10 out of 10,Not Available,10 out of 10,69,20
120001,Honolulu,HI,96813,HONOLULU,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,7 out of 10,4 out of 9,7 out of 10,15,17
120002,Wailuku,HI,96793,MAUI,2 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,3 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,18,16
120004,Wahiawa,HI,96786,HONOLULU,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,4 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,4 out of 9,4 out of 10,0 out of 10,1 out of 9,1 out of 10,2 out of 10,6 out of 9,6 out of 10,0 out of 10,0 out of 9,0 out of 10,17,10
120005,Hilo,HI,96720,HAWAII,3 out of 10,6 out of 9,6 out of 10,1 out of 10,3 out of 9,3 out of 10,3 out of 10,4 out of 9,4 out of 10,2 out of 10,4 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,4 out of 9,4 out of 10,0 out of 10,2 out of 9,2 out of 10,26,15
120006,Kailua,HI,96734,HONOLULU,8 out of 10,7 out of 9,8 out of 10,6 out of 10,6 out of 9,6 out of 10,7 out of 10,6 out of 9,7 out of 10,6 out of 10,5 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,8 out of 10,6 out of 9,8 out of 10,9 out of 10,9 out of 9,9 out of 10,8 out of 10,7 out of 9,8 out of 10,62,20
120007,Honolulu,HI,96817,HONOLULU,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,8,11
120011,Honolulu,HI,96819,HONOLULU,2 out of 10,1 out of 9,2 out of 10,5 out of 10,3 out of 9,5 out of 10,4 out of 10,1 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,7 out of 10,6 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,5 out of 9,6 out of 10,6 out of 10,3 out of 9,6 out of 10,33,19
120014,Lihue,HI,96766-1098,KAUAI,7 out of 10,5 out of 9,7 out of 10,8 out of 10,6 out of 9,8 out of 10,4 out of 10,1 out of 9,4 out of 10,7 out of 10,5 out of 9,7 out of 10,9 out of 10,8 out of 9,9 out of 10,4 out of 10,1 out of 9,4 out of 10,5 out of 10,5 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,49,20
120022,Honolulu,HI,96813,HONOLULU,9 out of 10,7 out of 9,9 out of 10,5 out of 10,1 out of 9,5 out of 10,9 out of 10,6 out of 9,9 out of 10,7 out of 10,4 out of 9,7 out of 10,9 out of 10,8 out of 9,9 out of 10,5 out of 10,2 out of 9,5 out of 10,4 out of 10,4 out of 9,4 out of 10,9 out of 10,5 out of 9,9 out of 10,57,20
120026,Aiea,HI,96701,HONOLULU,4 out of 10,1 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,4 out of 10,0 out of 9,4 out of 10,7 out of 10,3 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,6 out of 10,5 out of 9,6 out of 10,5 out of 10,0 out of 9,5 out of 10,36,20
120028,Kamuela,HI,96743,HAWAII,3 out of 10,1 out of 9,3 out of 10,4 out of 10,4 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,2 out of 10,2 out of 9,2 out of 10,4 out of 10,0 out of 9,4 out of 10,4 out of 10,2 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,4 out of 9,7 out of 10,28,19
130002,Twin Falls,ID,83301,TWIN FALLS,3 out of 10,4 out of 9,4 out of 10,3 out of 10,4 out of 9,4 out of 10,6 out of 10,5 out of 9,6 out of 10,5 out of 10,5 out of 9,5 out of 10,5 out of 10,5 out of 9,5 out of 10,6 out of 10,5 out of 9,6 out of 10,6 out of 10,7 out of 9,7 out of 10,4 out of 10,5 out of 9,5 out of 10,42,20
130003,Lewiston,ID,83501,NEZ PERCE,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,1 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,2 out of 10,0 out of 9,2 out of 10,20,18
130006,Boise,ID,83712,ADA,4 out of 10,4 out of 9,4 out of 10,3 out of 10,2 out of 9,3 out of 10,3 out of 10,3 out of 9,3 out of 10,5 out of 10,4 out of 9,5 out of 10,6 out of 10,6 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,9 out of 10,7 out of 9,9 out of 10,6 out of 10,3 out of 9,6 out of 10,38,20
130007,Boise,ID,83706,ADA,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,4 out of 9,7 out of 10,2 out of 10,0 out of 9,2 out of 10,9,17
130013,Nampa,ID,83686,CANYON,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,7 out of 10,4 out of 9,7 out of 10,0 out of 10,0 out of 9,0 out of 10,9,15
130014,Caldwell,ID,83605,CANYON,2 out of 10,3 out of 9,3 out of 10,1 out of 10,2 out of 9,2 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,3 out of 10,2 out of 9,3 out of 10,6 out of 10,5 out of 9,6 out of 10,3 out of 10,3 out of 9,3 out of 10,22,20
130018,Idaho Falls,ID,83404,BONNEVILLE,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,4,13
130025,Rexburg,ID,83440,MADISON,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,9,15
130028,Pocatello,ID,83201,BANNOCK,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,1 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,6 out of 10,3 out of 9,6 out of 10,1 out of 10,1 out of 9,1 out of 10,11,17
130049,Coeur D'Alene,ID,83814,KOOTENAI,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,0 out of 10,0 out of 9,0 out of 10,6,10
130063,Boise,ID,83704,ADA,10 out of 10,9 out of 9,10 out of 10,0 out of 10,0 out of 9,0 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,9 out of 10,0 out of 9,9 out of 10,10 out of 10,0 out of 9,10 out of 10,69,19
130065,Idaho Falls,ID,83404,BONNEVILLE,1 out of 10,1 out of 9,1 out of 10,2 out of 10,1 out of 9,2 out of 10,4 out of 10,1 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,2 out of 10,1 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,1 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,14,18
130066,Post Falls,ID,83854,KOOTENAI,10 out of 10,0 out of 9,10 out of 10,9 out of 10,0 out of 9,9 out of 10,10 out of 10,0 out of 9,10 out of 10,9 out of 10,0 out of 9,9 out of 10,10 out of 10,0 out of 9,10 out of 10,8 out of 10,0 out of 9,8 out of 10,10 out of 10,9 out of 9,10 out of 10,10 out of 10,0 out of 9,10 out of 10,76,20
140001,Canton,IL,61520,FULTON,6 out of 10,5 out of 9,6 out of 10,8 out of 10,4 out of 9,8 out of 10,3 out of 10,3 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,6 out of 10,6 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,3 out of 10,2 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,29,19
140002,Alton,IL,62002,MADISON,4 out of 10,0 out of 9,4 out of 10,4 out of 10,0 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,9 out of 10,9 out of 9,9 out of 10,4 out of 10,0 out of 9,4 out of 10,28,20
140007,Joliet,IL,60435,WILL,1 out of 10,0 out of 9,1 out of 10,1 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,2 out of 10,2 out of 9,2 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,8,15
140008,Melrose Park,IL,60160,COOK,0 out of 10,0 out of 9,0 out of 10,1 out of 10,0 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0 out of 9,0 out of 10,1,14
140010,Evanston,IL,60201,COOK,1 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,4 out of 9,4 out of 10,3 out of 10,0 out of 9,3 out of 10,12,17
140011,Herrin,IL,62948,WILLIAMSON,5 out of 10,1 out of 9,5 out of 10,3 out of 10,0 out of 9,3 out of 10,1 out of 10,0 out of 9,1 out of 10,2 out of 10,0 out of 9,2 out of 10,6 out of 10,3 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,9 out of 10,9 out of 9,9 out of 10,4 out of 10,2 out of 9,4 out of 10,32,20
140012,Dixon,IL,61021,LEE,4 out of 10,0 out of 9,4 out of 10,2 out of 10,0 out of 9,2 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,3 out of 10,0 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,6 out of 10,2 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,25,20
140013,Peoria,IL,61614,PEORIA,0 out of 10,1 out of 9,1 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,0 out of 9,0 out of 10,0 out of 10,1 out of 9,1 out of 10,0 out of 10,1 out of 9,1 out of 10,6 out of 10,4 out of 9,6 out of 10,1 out of 10,0 out of 9,1 out of 10,12,15
140015,Quincy ,IL,62305,ADAMS,4 out of 10,0 out of 9,4 out of 10,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0 out of 9,5 out of 10,6 out of 10,4 out of 9,6 out of 10,2 out of 10,0 out of 9,2 out of 10,1 out of 10,1 out of 9,1 out of 10,10 out of 10,9 out of 9,10 out of 10,2 out of 10,2 out of 9,2 out of 10,30,16
140018,Chicago,IL,60608,COOK,0 out of 10,3 out of 9,3 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,2 out of 9,2 out of 10,0 out of 10,3 out of 9,3 out of 10,0 out of 10,5 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,24,14
140026,Streator,IL,61364,LA SALLE,6 out of 10,5 out of 9,6 out of 10,6 out of 10,6 out of 9,6 out of 10,5 out of 10,5 out of 9,5 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,3 out of 9,4 out of 10,6 out of 10,6 out of 9,6 out of 10,4 out of 10,0 out of 9,4 out of 10,3 out of 10,4 out of 9,4 out of 10,36,19
140029,Aurora,IL,60504,KANE,3 out of 10,1 out of 9,3 out of 10,2 out of 10,0 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,4 out of 10,3 out of 9,4 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,3 out of 9,3 out of 10,7 out of 10,6 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,26,19
140030,Elgin,IL,60123,KANE,3 out of 10,0 out of 9,3 out of 10,0 out of 10,0 out of 9,0 out of 10,4 out of 10,4 out of 9,4 out of 10,1 out of 10,0 out of 9,1 out of 10,1 out of 10,0 out of 9,1 out of 10,5 out of 10,0 out of 9,5 out of 10,9 out of 10,9 out of 9,9 out of 10,3 out of 10,0 out of 9,3 out of 10,26,17
140032,Effingham,IL,62401,EFFINGHAM,4 out of 10,4 out of 9,4 out of 10,3 out of 10,3 out of 9,3 out of 10,2 out of 10,2 out of 9,2 out of 10,0 out of 10,1 out of 9,1 out of 10,3 out of 10,3 out of 9,3 out of 10,1 out of 10,2 out of 9,2 out of 10,5 out of 10,5 out of 9,5 out of 10,1 out of 10,2 out of 9,2 out of 10,22,19
140034,Centralia,IL,62801,MARION,9 out of 10,0 out of 9,9 out of 10,6 out of 10,0 out of 9,6 out of 10,10 out of 10,9 out of 9,10 out of 10,3 out of 10,0 out of 9,3 out of 10,8 out of 10,5 out of 9,8 out of 10,9 out of 10,7 out of 9,9 out of 10,10 out of 10,9 out of 9,10 out of 10,5 out of 10,0 out of 9,5 out of 10,60,20
140040,Galesburg,IL,61401,KNOX,4 out of 10,5 out of 9,5 out of 10,5 out of 10,0 out of 9,5 out of 10,1 out of 10,3 out of 9,3 out of 10,6 out of 10,6 out of 9,6 out of 10,4 out of 10,5 out of 9,5 out of 10,0 out of 10,2 out of 9,2 out of 10,8 out of 10,8 out of 9,8 out of 10,2 out of 10,4 out of 9,4 out of 10,38,19
140043,Sterling,IL,61081,WHITESIDE,6 out of 10,0 out of 9,6 out of 10,3 out of 10,3 out of 9,3 out of 10,7 out of 10,3 out of 9,7 out of 10,3 out of 10,0 out of 9,3 out of 10,5 out of 10,2 out of 9,5 out of 10,5 out of 10,1 out of 9,5 out of 10,6 out of 10,3 out of 9,6 out of 10,5 out of 10,2 out of 9,5 out of 10,40,20
